Date,Close,High,Low,Open,Volume
2020-01-02,122.63821411132812,122.68022469512213,121.89047187118368,122.55419294374009,5777000
2020-01-03,121.21835327148438,122.13412511975811,120.142948880518,120.56302912135898,5752400
2020-01-06,121.067138671875,121.15114703378813,120.01693799921762,120.98311749012943,7731300
2020-01-07,121.80647277832031,122.20134926185214,118.78190249446911,120.99151602037864,7382900
2020-01-08,121.78965759277344,122.64661197308533,120.73104728088292,121.71403341347387,6605800
2020-01-09,122.15090942382812,122.68861152028894,121.81485042097606,122.46176464245774,6112700
2020-01-10,121.87369537353516,122.81467114927803,121.73926659990519,122.45340824246013,5042600
2020-01-13,122.411376953125,122.48698831807131,121.5880232885477,122.22654062559093,4593200
2020-01-14,123.10033416748047,123.17594554439242,121.59643952089846,121.86529706525204,7037500
2020-01-15,123.51197052001953,123.83963254924873,122.86505626989378,122.99947218508875,4960300
2020-01-16,124.51175689697266,125.04945898913901,122.83143625647416,123.85643287276457,6476000
2020-01-17,125.32672882080078,125.52837193755678,124.28492528064072,124.68821151415275,9083600
2020-01-21,125.41075134277344,126.16689060405461,124.76382422022705,124.8310385932035,9543900
2020-01-22,124.55378723144531,125.33513029968181,122.66342621106925,123.25153596455336,10305300
2020-01-23,124.78898620605469,124.99062925743807,123.30189914919023,124.37730311691523,8671900
2020-01-24,124.61259460449219,125.14188693018541,124.28491974691673,124.8310316897124,9051900
2020-01-27,124.97388458251953,125.57040422696761,123.50360358743107,123.9404906726677,7587100
2020-01-28,125.60401153564453,126.50298954430271,124.46978958113506,124.7302501396016,7336600
2020-01-29,126.477783203125,127.02389533735673,125.29316638668135,125.5620111381303,6288600
2020-01-30,126.32652282714844,126.45254176377554,125.2259147145025,126.04926834673803,6470600
2020-01-31,125.07469177246094,126.02407725680848,124.88145844355347,125.81403712804713,8651700
2020-02-03,126.16687774658203,126.435735211089,125.38553477753901,125.53675748645205,5765200
2020-02-04,127.36830139160156,128.33448056910046,127.032229593468,127.27588324959338,6541400
2020-02-05,129.3762969970703,129.4015007820006,127.1246605912721,127.46912941175866,5979900
2020-02-06,128.9898681640625,129.80482504918135,128.32614686764504,129.59478487919884,6201200
2020-02-07,127.61197662353516,128.93103474956104,127.32632513300034,128.83020677303037,5700300
2020-02-10,127.58674621582031,127.62875679562407,126.77178968297771,127.43551069249257,4835600
2020-02-11,127.69598388671875,128.02364593011947,127.31790145063071,127.94802175100367,3715300
2020-02-12,126.93983459472656,127.83040258744656,126.79700886191587,127.59515869577828,5166800
2020-02-13,126.09966278076172,126.89781254249804,125.92323628786889,126.15848015827898,5480200
