Date,Close,High,Low,Open,Volume
2020-01-02,17.83559799194336,17.887209665729216,17.76186642668672,17.776613021000575,3566294
2020-01-03,17.960939407348633,18.152640895026718,17.93881951812376,18.06416274443972,4519868
2020-01-06,17.946195602416992,17.9535688999707,17.7692406800661,17.9535688999707,4573503
2020-01-07,18.152645111083984,18.182136897254292,18.064166939947416,18.101032024238506,5050333
2020-01-08,18.093660354614258,18.16739052410182,17.879838925424384,18.152645333992012,4926001
2020-01-09,18.04204559326172,18.241120407559535,17.990433916883628,18.22637381250502,8525619
2020-01-10,18.17476463317871,18.211631125880128,18.108406352629068,18.12315294970963,4791982
2020-01-13,18.130525588989258,18.196883867125987,18.0715406091247,18.12315229071708,3949922
2020-01-14,18.11577606201172,18.24111929973731,18.075223631230994,18.204254220652626,5765970
2020-01-15,18.204256057739258,18.211629355562795,18.14527108146371,18.204256057739258,6121181
2020-01-16,18.35909080505371,18.395957293592996,18.263240747477056,18.285359234287885,6327166
2020-01-17,18.418075561523438,18.558165403682406,18.410702263903204,18.42544885914367,6854059
2020-01-20,18.48443603515625,18.56554091232509,18.447570948977447,18.462317545974123,4988301
2020-01-21,18.521299362182617,18.558164442060832,18.432821201637193,18.558164442060832,4047571
2020-01-22,18.53604507446289,18.595030047723455,18.418075127941762,18.558164966802863,9410824
2020-01-23,18.49180793762207,18.536046318959453,18.42176371664515,18.536046318959453,7004942
2020-01-24,18.58765983581543,18.727749697931348,18.580287943457733,18.617153030497906,6980067
2020-01-28,18.432823181152344,18.46968826498953,18.336973119387984,18.432823181152344,5537509
2020-01-29,18.572914123535156,18.661390892473623,18.488123300672086,18.50655584367486,5197165
2020-01-30,18.661392211914062,18.676138809884083,18.58397468204093,18.654018912929054,4717483
2020-01-31,18.521299362182617,18.727746059600857,18.47705957875358,18.66138779076995,9373139
2020-02-03,18.2927303314209,18.36646189331698,18.078910348866085,18.359088596496115,7767079
2020-02-04,18.28536033630371,18.359091911513165,18.027301932539853,18.137898592197626,7341911
2020-02-05,18.233749389648438,18.418077631936786,18.233749389648438,18.35909265065703,4916152
2020-02-06,18.550790786743164,18.61714905429318,18.381209172476517,18.418074251643134,8381384
2020-02-07,18.44019317626953,18.6171480783558,18.32222324154535,18.609774781646472,8936291
2020-02-10,18.410703659057617,18.51392842725047,18.336973489893502,18.440196851773525,3827145
2020-02-11,18.506555557250977,18.61346627385046,18.454943875116843,18.506555557250977,4580475
2020-02-12,18.617151260375977,18.65401634391101,18.550792984962683,18.617151260375977,8351876
2020-02-13,18.73512077331543,18.96368737972906,18.66876249946748,18.72037417772416,8630192
2020-02-14,18.948944091796875,19.022674264525822,18.690884268306856,18.72774935467133,8445885
2020-02-17,18.889957427978516,19.00055408353798,18.79410596186428,18.978434189900977,5437953
2020-02-18,18.985809326171875,19.0153025205437,18.867839361310402,18.912077746555227,7001667
2020-02-19,18.889957427978516,18.971060892021978,18.80885255762228,18.823599153380282,9064451
2020-02-20,18.941570281982422,19.037420347730567,18.853092108257865,18.985808665688268,7038380
2020-02-21,19.030044555664062,19.140641203592335,18.963686285644563,18.98580617775529,6827084
2020-02-24,18.80147933959961,18.941569187270087,18.59503121704905,18.912075995628815,10185952
2020-02-25,18.49180793762207,18.52867302101776,18.277987922564066,18.4328229604013,9915004
2020-02-26,18.18213653564453,18.263241407047285,18.0346733887873,18.211629727541094,9865652
2020-02-27,17.93882179260254,18.26323984413812,17.8134785503942,18.093658224183507,17835482
2020-02-28,17.43008041381836,17.61440868014491,17.337916280655087,17.61440868014491,22523890
2020-03-02,17.098289489746094,17.142527877598063,16.722259677221867,17.13515457857057,14172389
2020-03-03,16.913957595825195,17.44482235483081,16.8107328379507,17.32685240838512,18011748
2020-03-04,16.390466690063477,16.692764889807982,16.364660849083787,16.58954152588923,15292761
2020-03-05,16.405208587646484,16.70750670080149,16.405208587646484,16.589536774024534,12014024
2020-03-06,15.741630554199219,16.11028700087221,15.741630554199219,16.066048621039016,13480773
2020-03-09,14.392349243164062,15.277123946854767,14.392349243164062,14.967452448984806,18927234
2020-03-10,15.144408226013184,15.159153415785056,13.743512536850584,13.86148249290239,22755828
2020-03-11,14.348108291625977,15.247630925444161,14.348108291625977,15.247630925444161,17293393
2020-03-12,13.07992935180664,14.333361717316976,13.07992935180664,14.060555353183805,25091325
2020-03-13,13.360111236572266,13.360111236572266,11.450469885585868,12.062440279331362,44508593
2020-03-16,11.782259941101074,12.84399092317949,11.782259941101074,12.534319445336319,24168759
2020-03-17,12.718647956848145,12.89560289009893,11.7970068005548,11.7970068005548,23986281
2020-03-18,11.723274230957031,12.593303633603481,11.723274230957031,12.585930336221923,23558831
2020-03-19,10.713155746459961,12.445840559724983,10.713155746459961,12.077184126712467,32807395
2020-03-20,11.627425193786621,12.091931718918378,11.214529645367236,11.27351462326195,28486410
